id;nombre;apellido;direccion;correo;telefono
1;de;escalable codificar Comunicaciones;León;infraestructura Raton;Inteligente Asistente
2;Orígenes Inteligente Consultor;Mesa Plástico;Violeta Senior;Violeta Pelota;Solar Uruguay
3;Portugal Artesanal Poland;Teclado;Mobilidad Azul Congo;Ejecutivo;Marroquinería
4;Negro Aldea;Electrónica Asistente;Orientado;Cliente;Madera
5;Madera;flexibilidad Guantes;Mateo;interactiva;Metal Sabroso
6;Madera;bidireccional Kazajistan Central;Hecho Violeta Desarrollador;dedicada modelo;Cliente Relacciones
7;Optimización;Pelota;Nacional;Blanco;Futuro
8;Marroquinería Ladrillo Hugo;proyecto;Bebes;Ejecutivo Director;Pequeño Investigación Patatas
9;Futuro;Multi;Bicicleta Implementación;María;Fantástico Ruanda Canarias
10;concepto;Atún Rioja Hogar;Yemen;Algodón Negro;Morado
