id;nombre_colaborador;num_telefono;correo
1;Silla Programa multiestado;12033;Coche En Amarillo
2;Negro;29044;Desarrollador Corporativo
3;estructura Salchichas Robusto;3351;Producto Morado
4;Uganda Reducido Seguro;15676;Mercados Sabroso
5;Blanco Silla Sabroso;27951;Ingeniero Hogar Factores
6;cohesiva generación;28587;multiestado Pescado
7;Música;18010;groupware direccional Adela
8;Informática Librería Acero;23655;bidireccional Interacciones
9;herramientas Optimización;13540;Comunicaciones Patatas Librería
10;Kiribati de Dinánmico;20380;Blanco Canarias servidor
